"pxcor","pycor","pcolor","plabel","plabel-color"
"-64","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-63","64","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-62","64","[21.25 158.75 21.25]","""""","9.9"
"-61","64","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-60","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-59","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-58","64","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-57","64","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-56","64","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-55","64","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-54","64","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-53","64","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-52","64","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-51","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-50","64","[42.5 167.5 42.5]","""""","9.9"
"-49","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-48","64","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-47","64","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-46","64","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-45","64","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-44","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-43","64","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-42","64","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-41","64","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"-40","64","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-39","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-38","64","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-37","64","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-36","64","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-35","64","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-34","64","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-33","64","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-32","64","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-31","64","[233.75 246.25 233.75]","""""","9.9"
"-30","64","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-29","64","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-28","64","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-27","64","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-26","64","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-25","64","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-24","64","[42.5 167.5 42.5]","""""","9.9"
"-23","64","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-22","64","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-21","64","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-20","64","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-19","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-18","64","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-17","64","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-16","64","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-15","64","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-14","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-13","64","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-12","64","[63.75 176.25 63.75]","""""","9.9"
"-11","64","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-10","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-9","64","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-8","64","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-7","64","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-6","64","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-5","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-4","64","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-3","64","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-2","64","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-1","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
