"pxcor","pycor","pcolor","plabel","plabel-color"
"-64","64","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-63","64","[233.75 246.25 233.75]","""""","9.9"
"-62","64","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-61","64","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-60","64","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-59","64","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-58","64","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-57","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-56","64","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-55","64","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-54","64","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-53","64","[148.75 211.25 148.75]","""""","9.9"
"-52","64","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-51","64","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-50","64","[170 220 170]","""""","9.9"
"-49","64","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-48","64","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-47","64","[148.75 211.25 148.75]","""""","9.9"
"-46","64","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-45","64","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-44","64","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-43","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-42","64","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-41","64","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-40","64","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-39","64","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-38","64","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"-37","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-36","64","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-35","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-34","64","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-33","64","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-32","64","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-31","64","[106.25 193.75 106.25]","""""","9.9"
"-30","64","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-29","64","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-28","64","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-27","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-26","64","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-25","64","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"-24","64","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
