"pxcor","pycor","pcolor","plabel","plabel-color"
"-64","64","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-63","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-62","64","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-61","64","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-60","64","[106.25 193.75 106.25]","""""","9.9"
"-59","64","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-58","64","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-57","64","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-56","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-55","64","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-54","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-53","64","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"-52","64","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-51","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-50","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-49","64","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-48","64","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-47","64","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-46","64","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-45","64","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-44","64","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-43","64","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-42","64","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-41","64","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-40","64","[148.75 211.25 148.75]","""""","9.9"
