"pxcor","pycor","pcolor","plabel","plabel-color"
"-64","64","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-63","64","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-62","64","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-61","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-60","64","[127.5 202.5 127.5]","""""","9.9"
"-59","64","[106.25 193.75 106.25]","""""","9.9"
"-58","64","[85 185 85]","""""","9.9"
"-57","64","[63.75 176.25 63.75]","""""","9.9"
"-56","64","[42.5 167.5 42.5]","""""","9.9"
"-55","64","[21.25 158.75 21.25]","""""","9.9"
"-54","64","[0 150 0]","""""","9.9"
"-53","64","0","""""","9.9"
"-52","64","0","""""","9.9"
"-51","64","0","""""","9.9"
"-50","64","0","""""","9.9"
"-49","64","0","""""","9.9"
"-48","64","[0 150 0]","""""","9.9"
"-47","64","[21.25 158.75 21.25]","""""","9.9"
"-46","64","[42.5 167.5 42.5]","""""","9.9"
"-45","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-44","64","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-43","64","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-42","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-41","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-40","64","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-39","64","[21.25 158.75 21.25]","""""","9.9"
"-38","64","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-37","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-36","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-35","64","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-34","64","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-33","64","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-32","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-31","64","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-30","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-29","64","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"-28","64","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-27","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-26","64","[42.5 167.5 42.5]","""""","9.9"
"-25","64","[21.25 158.75 21.25]","""""","9.9"
"-24","64","[0 150 0]","""""","9.9"
"-23","64","0","""""","9.9"
"-22","64","0","""""","9.9"
"-21","64","0","""""","9.9"
"-20","64","0","""""","9.9"
"-19","64","0","""""","9.9"
"-18","64","0","""""","9.9"
"-17","64","0","""""","9.9"
"-16","64","0","""""","9.9"
"-15","64","0","""""","9.9"
"-14","64","0","""""","9.9"
"-13","64","0","""""","9.9"
"-12","64","0","""""","9.9"
"-11","64","0","""""","9.9"
"-10","64","0","""""","9.9"
"-9","64","0","""""","9.9"
"-8","64","0","""""","9.9"
"-7","64","0","""""","9.9"
"-6","64","0","""""","9.9"
"-5","64","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-4","64","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-3","64","[42.5 167.5 42.5]","""""","9.9"
"-2","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-1","64","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"0","64","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"1","64","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"2","64","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"3","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"4","64","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
